iter	SMAPE	RMSE	MAPE	MAE
432	38.9935198	1054.939309	0.5447340585	745.107194
433	38.97501903	1054.880036	0.5443785721	745.0465418
434	38.97489705	1054.851749	0.5443907546	745.0377737
435	38.97607997	1054.848713	0.5443881703	745.0338723
436	38.99210576	1054.828438	0.5445442609	745.021065
437	38.99360686	1054.795751	0.5445608737	745.0091833
438	38.99462637	1054.768158	0.5444551012	744.9673927
439	38.99269986	1054.764347	0.544493221	744.9722791
440	38.99040051	1054.681872	0.5444977383	744.9443041
441	38.99211985	1054.627982	0.5444521979	744.8957447
442	38.99256755	1054.609236	0.5444523263	744.8884009
443	38.9912492	1054.607496	0.5444582835	744.8869355
444	38.99230867	1054.60342	0.5444475694	744.8889286
445	38.9912584	1054.602246	0.5444443407	744.886623
446	38.99443035	1054.590458	0.544399706	744.8802848
447	38.99296276	1054.588825	0.5444076576	744.8792418
448	38.99304347	1054.541251	0.5444104941	744.8278673
449	38.99214636	1054.540842	0.5444150108	744.8281341
450	38.99249586	1054.388727	0.5443914999	744.7608672
451	38.96690196	1054.325378	0.5444218461	744.6904834
452	38.95667702	1054.178253	0.5442762151	744.5421702
453	38.99283925	1054.046205	0.5443361732	744.4440835
454	38.99773987	1054.037068	0.5444376991	744.4383626
455	39.00091941	1053.982067	0.5444395802	744.3987555
456	39.00638084	1053.96847	0.5444036942	744.3698111
457	39.01010756	1053.966539	0.544408414	744.3711397
458	39.01187306	1053.961002	0.544430208	744.3693156
459	39.00722759	1053.948666	0.5444633274	744.3658596
460	39.00463274	1053.844105	0.5444278999	744.3461067
461	38.99080206	1053.71829	0.5442673464	744.2330265
462	38.98783571	1053.674498	0.544310802	744.2165623
463	38.99604608	1053.577645	0.5442117391	744.1657743
464	39.0056107	1053.467516	0.5442466528	744.1281882
465	39.00956768	1053.407697	0.5443117959	744.0903256
466	39.00941028	1053.376939	0.5443135044	744.0641009
467	39.01466546	1053.282372	0.5441089674	743.9943336
468	38.99973402	1053.210955	0.5439364508	743.928021
469	38.99319412	1053.176623	0.5437666675	743.9036677
470	39.00161343	1053.173024	0.5437354356	743.9016624
471	39.0023713	1053.127641	0.5436999072	743.8646756
472	39.00190912	1053.123013	0.5437112072	743.8576959
473	38.99751429	1053.066386	0.5436951504	743.8167205
474	38.99718792	1053.065386	0.5436957974	743.8160848
475	38.99775403	1053.061092	0.5436928471	743.8196116
476	38.99776391	1052.980669	0.5436885833	743.7781371
477	38.99639906	1052.936769	0.5437444434	743.7670435
478	38.99589199	1052.898726	0.5436778039	743.7413434
479	39.00907835	1052.83511	0.5436794287	743.7285
480	39.0136862	1052.823847	0.5436810261	743.7368752
481	38.9929841	1052.668993	0.5436658601	743.6431892
482	38.99215511	1052.668412	0.5436776763	743.6401332
483	38.98905337	1052.665035	0.5437055146	743.6460521
484	38.99607997	1052.593292	0.5438397711	743.6238403
485	38.98509609	1052.436311	0.5438438205	743.5093225
486	38.93437647	1052.373702	0.5427385023	743.3494863
487	38.92104741	1052.359958	0.5426602954	743.3521057
488	38.92148866	1052.340064	0.5426465659	743.3597691
489	38.92621516	1052.142192	0.5426457887	743.248213
490	38.9241151	1052.128413	0.5426303382	743.2367496
491	38.90100134	1052.113925	0.5425984973	743.2220465
492	38.88457271	1052.08853	0.5426244779	743.2095144
493	38.88542258	1052.082198	0.5426353706	743.2012827
494	38.88480675	1052.073171	0.5426406286	743.1937449
495	38.8735467	1052.056041	0.5426120022	743.1779145
496	38.86326947	1052.039032	0.5426433517	743.1574473
497	38.85480616	1051.924447	0.5426229638	743.1146764
498	38.86118222	1051.869613	0.5426453038	743.0912496
499	38.86059461	1051.831905	0.5426675062	743.0907107
